query,spark_time,spark_std_dev,sparser_time,sparser_std_dev,query_only_time,query_only_std_dev
disk load time,103.616600,0.419802,,,,
1,539.316800,3.924881,154.980200,0.707634,4.614600,0.707634
2,583.343400,0.443737,141.523800,0.784385,4.361200,0.784385
3,530.298400,3.346802,155.382000,1.117983,4.506200,1.117983
4,588.594800,3.831445,157.232800,0.416129,4.309400,0.416129
5,563.700000,2.154845,107.816400,0.288589,4.254200,0.288589
6,520.896600,0.970178,154.257600,0.512501,11.874800,0.512501
7,518.153000,1.492783,143.998200,0.395590,4.415200,0.395590
8,515.224600,0.719246,145.556800,0.573365,3.985000,0.573365
9,523.732600,2.020364,142.373400,0.506733,1.714600,0.506733
10,nan,nan,140.956800,0.415735,nan,0.415735
